микрорайон Асанбай,22,0
микрорайон Асанбай,32,1
микрорайон Асанбай,16,2
11-й микрорайон,17,3
Асанбай,13,4
6-й микрорайон,12,5
5-й микрорайон,33,6
4-й микрорайон,15,7
Юнусалиева (ул. Суеркулова),10,8
Орто-Сайский рынок,18,9
Кыргызская Государственная Академия Физической Культуры и Спорта,14,10
Ахунбаева,19,11
Завод Дастан,20,12
Медерова,21,13
Кулатова,24,14
Боконбаева,25,15
Моссовет,7,16
Киевская,31,17
Бульвар Эркиндик,29,18
Площадь Ала-Тоо,27,19
Тоголок Молдо,26,20
Кыргызская национальная филармония им. Токтогула Сатылганова,23,21
Национальная академия наук Кыргызской Республики,30,22
Бейшеналиевой,6,23
Павлова,28,24
Рыскулова,9,25
Коммунаров,8,26
Ленская,11,27
с. Пригородное,5,28
